Episode: 100, Score: 101, Last 100 mean: 110.91000366210938
Episode: 101, Score: 84, Last 100 mean: 110.44999694824219
Episode: 102, Score: 78, Last 100 mean: 110.4800033569336
Episode: 103, Score: 88, Last 100 mean: 108.5999984741211
Episode: 104, Score: 65, Last 100 mean: 108.11000061035156
Episode: 105, Score: 89, Last 100 mean: 107.51000213623047
Episode: 106, Score: 188, Last 100 mean: 106.55999755859375
Episode: 107, Score: 76, Last 100 mean: 106.37000274658203
Episode: 108, Score: 77, Last 100 mean: 106.2300033569336
Episode: 109, Score: 59, Last 100 mean: 106.22000122070312
Episode: 110, Score: 54, Last 100 mean: 106.06999969482422
Episode: 111, Score: 111, Last 100 mean: 106.44999694824219
Episode: 112, Score: 88, Last 100 mean: 106.16999816894531
Episode: 113, Score: 69, Last 100 mean: 106.2699966430664
Episode: 114, Score: 60, Last 100 mean: 105.58000183105469
Episode: 115, Score: 57, Last 100 mean: 105.16999816894531
Episode: 116, Score: 68, Last 100 mean: 104.81999969482422
Episode: 117, Score: 59, Last 100 mean: 102.77999877929688
Episode: 118, Score: 204, Last 100 mean: 104.22000122070312
Episode: 119, Score: 52, Last 100 mean: 102.9000015258789
Episode: 120, Score: 72, Last 100 mean: 102.36000061035156
Episode: 121, Score: 145, Last 100 mean: 102.9800033569336
Episode: 122, Score: 65, Last 100 mean: 102.55000305175781
Episode: 123, Score: 231, Last 100 mean: 103.94999694824219
Episode: 124, Score: 117, Last 100 mean: 103.51000213623047
Episode: 125, Score: 192, Last 100 mean: 104.79000091552734
Episode: 126, Score: 126, Last 100 mean: 105.1500015258789
Episode: 127, Score: 152, Last 100 mean: 105.97000122070312
Episode: 128, Score: 43, Last 100 mean: 105.8499984741211
Episode: 129, Score: 91, Last 100 mean: 106.13999938964844
Episode: 130, Score: 46, Last 100 mean: 105.94999694824219
Episode: 131, Score: 47, Last 100 mean: 105.7699966430664
Episode: 132, Score: 45, Last 100 mean: 103.81999969482422
Episode: 133, Score: 116, Last 100 mean: 103.86000061035156
Episode: 134, Score: 93, Last 100 mean: 103.61000061035156
Episode: 135, Score: 119, Last 100 mean: 103.77999877929688
Episode: 136, Score: 79, Last 100 mean: 103.19000244140625
Episode: 137, Score: 71, Last 100 mean: 103.11000061035156
Episode: 138, Score: 240, Last 100 mean: 103.4800033569336
Episode: 139, Score: 91, Last 100 mean: 103.8499984741211
Episode: 140, Score: 92, Last 100 mean: 103.9000015258789
Episode: 141, Score: 52, Last 100 mean: 103.86000061035156
Episode: 142, Score: 92, Last 100 mean: 104.13999938964844
Episode: 143, Score: 70, Last 100 mean: 103.23999786376953
Episode: 144, Score: 204, Last 100 mean: 103.37999725341797
Episode: 145, Score: 107, Last 100 mean: 102.94999694824219
Episode: 146, Score: 95, Last 100 mean: 103.05000305175781
Episode: 147, Score: 57, Last 100 mean: 102.5
Episode: 148, Score: 58, Last 100 mean: 102.45999908447266
Episode: 149, Score: 76, Last 100 mean: 101.93000030517578
Episode: 150, Score: 68, Last 100 mean: 101.9800033569336
Episode: 151, Score: 135, Last 100 mean: 102.73999786376953
Episode: 152, Score: 234, Last 100 mean: 104.0
Episode: 153, Score: 57, Last 100 mean: 103.93000030517578
Episode: 154, Score: 194, Last 100 mean: 104.87000274658203
Episode: 155, Score: 52, Last 100 mean: 104.51000213623047
Episode: 156, Score: 52, Last 100 mean: 104.18000030517578
Episode: 157, Score: 137, Last 100 mean: 104.30000305175781
Episode: 158, Score: 233, Last 100 mean: 105.80999755859375
Episode: 159, Score: 196, Last 100 mean: 107.18000030517578
Episode: 160, Score: 110, Last 100 mean: 105.0199966430664
Episode: 161, Score: 107, Last 100 mean: 105.63999938964844
Episode: 162, Score: 351, Last 100 mean: 107.48999786376953
Episode: 163, Score: 121, Last 100 mean: 107.70999908447266
Episode: 164, Score: 220, Last 100 mean: 109.2699966430664
Episode: 165, Score: 73, Last 100 mean: 109.33000183105469
Episode: 166, Score: 120, Last 100 mean: 108.61000061035156
Episode: 167, Score: 51, Last 100 mean: 108.16000366210938
Episode: 168, Score: 298, Last 100 mean: 110.6500015258789
Episode: 169, Score: 61, Last 100 mean: 110.29000091552734
Episode: 170, Score: 296, Last 100 mean: 112.61000061035156
Episode: 171, Score: 50, Last 100 mean: 112.55999755859375
Episode: 172, Score: 96, Last 100 mean: 110.56999969482422
Episode: 173, Score: 115, Last 100 mean: 111.0999984741211
Episode: 174, Score: 89, Last 100 mean: 110.86000061035156
Episode: 175, Score: 145, Last 100 mean: 111.2300033569336
Episode: 176, Score: 71, Last 100 mean: 111.16999816894531
Episode: 177, Score: 119, Last 100 mean: 111.55000305175781
Episode: 178, Score: 64, Last 100 mean: 111.11000061035156
Episode: 179, Score: 94, Last 100 mean: 110.66000366210938
Episode: 180, Score: 125, Last 100 mean: 111.31999969482422
Episode: 181, Score: 76, Last 100 mean: 111.22000122070312
Episode: 182, Score: 133, Last 100 mean: 110.7699966430664
Episode: 183, Score: 62, Last 100 mean: 110.44999694824219
Episode: 184, Score: 144, Last 100 mean: 110.38999938964844
Episode: 185, Score: 311, Last 100 mean: 111.81999969482422
Episode: 186, Score: 42, Last 100 mean: 110.06999969482422
Episode: 187, Score: 66, Last 100 mean: 110.08999633789062
Episode: 188, Score: 71, Last 100 mean: 109.80000305175781
Episode: 189, Score: 176, Last 100 mean: 110.73999786376953
Episode: 190, Score: 47, Last 100 mean: 110.69000244140625
Episode: 191, Score: 61, Last 100 mean: 110.54000091552734
Episode: 192, Score: 73, Last 100 mean: 110.52999877929688
